weighted_error, threshold, feature, weight_alpha
3.406193078324224466e-01,-9.137669999999999959e-01,-1.000000000000000000e+00,1.000000000000000000e+00
3.906106892782227336e-01,-8.336160000000000236e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.399404732031143572e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.280552180462838252e-01,-8.998660000000000547e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.521477081952083865e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.564640697440104367e-01,-9.419180000000000330e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.625786050533847726e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.623696970794908823e-01,-8.341039999999999566e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.593390145896713017e-01,-8.526679999999999815e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.763944247581015645e-01,-8.199419999999999487e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.670925905837085557e-01,-8.336160000000000236e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.765078059974055535e-01,-9.419180000000000330e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.696520673596372708e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.721089067210456625e-01,5.555560000000001608e-01,-5.000000000000000000e+00,1.000000000000000000e+00
4.665930441802317308e-01,-8.199419999999999487e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.716131098049529125e-01,5.555560000000001608e-01,-5.000000000000000000e+00,1.000000000000000000e+00
4.757594998555212396e-01,-8.098090000000000011e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.746516041226872540e-01,-9.450199999999999712e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.764559463317499244e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.767856675286523682e-01,5.555560000000001608e-01,-5.000000000000000000e+00,1.000000000000000000e+00
4.758035700036021276e-01,-8.199419999999999487e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.793395123745673447e-01,5.555560000000001608e-01,-5.000000000000000000e+00,1.000000000000000000e+00
4.799754470041036614e-01,-8.894549999999999956e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.813513823150593618e-01,-8.312720000000000109e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.795964036146234122e-01,-9.450199999999999712e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.779053256917551451e-01,-8.428919999999999746e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.813209519404365588e-01,-8.098090000000000011e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.768612035643102209e-01,-8.526679999999999815e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.794635672087811384e-01,-8.478949999999999543e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.810420068093632651e-01,-8.813530000000000530e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.828507796303592725e-01,-8.894549999999999956e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.821960166915476576e-01,-9.419180000000000330e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.813175976763246489e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.808035124451121023e-01,5.555560000000001608e-01,-5.000000000000000000e+00,1.000000000000000000e+00
4.823072023382242168e-01,-8.199419999999999487e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.795141686911520429e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.798392936839779854e-01,-8.290469999999999784e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.825868066929344669e-01,-8.336160000000000236e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.832317599400989816e-01,-8.312720000000000109e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.832055991953905782e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.810907718387890664e-01,-8.199419999999999487e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.828045442262295373e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.839014187748704732e-01,-8.257330000000000503e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.845284788952303745e-01,-8.168889999999999763e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.828970178791065493e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.827782894643394829e-01,-9.809010000000000229e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.829569155757866272e-01,-9.188490000000000268e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.835019442534386203e-01,-8.858559999999999768e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.850154236800127139e-01,-8.894549999999999956e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.840844977206226196e-01,-9.307050000000000045e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.834903422524929884e-01,-8.045630000000000281e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.842310697943520426e-01,-9.809010000000000229e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.839630622505257107e-01,-9.248549999999999827e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.844546375902889501e-01,-8.998660000000000547e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.856632709906988365e-01,-8.945199999999999818e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.853908788412902853e-01,-8.526679999999999815e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.826826221067160305e-01,-8.478949999999999543e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.833103307421317552e-01,-8.501980000000000093e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.841832834477519665e-01,-8.478949999999999543e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.846746887912316559e-01,-8.436669999999999447e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.836517700495831518e-01,-8.352239999999999664e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.856136552363772285e-01,-8.194810000000000150e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.833735184021256126e-01,-8.168889999999999763e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.845350034358737457e-01,-8.194810000000000150e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.842186813911961707e-01,-8.245620000000000172e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.841809644750338371e-01,-8.312720000000000109e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.854066034115016581e-01,-8.336160000000000236e-01,-1.000000000000000000e+00,1.000000000000000000e+00
4.859329516793828851e-01,-8.342380000000000351e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.865601308492183419e-01,-8.341039999999999566e-01,-1.000000000000000000e+00,1.000000000000000000e+00
