weighted_error, threshold, feature, weight_alpha
6.520947176684898094e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00
6.502732240437174571e-01,-9.980560000000000542e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.484517304189451048e-01,-9.951689999999999703e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.466302367941727525e-01,-9.903389999999999693e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-9.881180000000000518e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.878259999999999819e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-9.855239999999999556e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.844439999999999857e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.819970000000000088e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.819940000000000335e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-9.809010000000000229e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.712840000000000362e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.701049999999999951e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.641790000000000083e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.625040000000000262e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.615709999999999535e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.615709999999999535e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.610170000000000101e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.610109999999999486e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.583500000000000352e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.568280000000000118e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.519490000000000451e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.519490000000000451e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-9.510920000000000485e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.338797814207662862e-01,-9.480129999999999946e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-9.478870000000000351e-01,-1.000000000000000000e+00,1.000000000000000000e+00
